video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
oK7pgAciLsW,24.26.07,Film & Animation Compilation 2024,Channel_2700,7,2024-07-25T10:00:00.000Z,music|2024|review,9841,367,15,8,https://i.ytimg.com/vi/Wkt7rTBWNpx/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
I2vxEBLbd-X,24.26.04,Top 10 Entertainment Moments This Week,Channel_934,17,2024-04-26T16:00:00.000Z,music|vlog|official,15020,424,113,286,https://i.ytimg.com/vi/pLxSO-SvZxe/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
CbFLEG2ADjr,24.04.11,Reacting to Entertainment Trends,Channel_1035,17,2024-11-02T04:00:00.000Z,official|live|music,27337,1700,104,145,https://i.ytimg.com/vi/PUVMl8Fp975/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
kPCeHr1r7Cv,24.28.02,Top 10 Entertainment Moments This Week,Channel_4051,17,2024-02-26T05:00:00.000Z,vlog|live|official,37848,2511,111,549,https://i.ytimg.com/vi/QvEytx5Lama/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
5bGaVhe3vju,24.10.11,Entertainment Compilation 2024,Channel_4452,8,2024-11-10T11:00:00.000Z,music|live|review,7435,171,23,97,https://i.ytimg.com/vi/CE6KVPjZuL9/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
5txgKHGSebS,24.13.08,Reacting to Entertainment Trends,Channel_2155,17,2024-08-11T05:00:00.000Z,official|2024|music,41609,784,106,342,https://i.ytimg.com/vi/0jFrDZcR_hn/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
LjL1ZmS_IhZ,24.14.05,Top 10 Gaming Moments This Week,Channel_2212,13,2024-05-12T03:00:00.000Z,live|music|2024,107858,2246,488,789,https://i.ytimg.com/vi/MtcE_0-UWVx/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
2Wnt7HM-WP-,25.17.01,Gaming Compilation 2024,Channel_924,13,2025-01-14T14:00:00.000Z,trending|official|2024,25712,437,168,128,https://i.ytimg.com/vi/YKbxn5x_SkA/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
utZubWFjNR_,25.17.01,Top 10 Howto & Style Moments This Week,Channel_3924,1,2025-01-17T09:00:00.000Z,official|vlog|2024,1321,52,13,22,https://i.ytimg.com/vi/VThK46h9eeX/default.jpg,False,False,False,Auto-generated sample description for Howto & Style video.
UOZbX6GXd_c,24.28.04,Top 10 Film & Animation Moments This Week,Channel_4199,7,2024-04-24T14:00:00.000Z,2024|vlog|review,1429,84,1,11,https://i.ytimg.com/vi/ldFglaNhqeO/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
OA3zT_4nGfH,24.15.10,Entertainment Compilation 2024,Channel_1247,17,2024-10-15T06:00:00.000Z,live|review|2024,5453,283,48,52,https://i.ytimg.com/vi/Zd8thO_RukP/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
dtStjAvVmWi,24.27.05,Official Film & Animation Highlights,Channel_848,7,2024-05-25T20:00:00.000Z,music|official|live,16753,666,76,243,https://i.ytimg.com/vi/bvIaiFpmfJ7/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
scSE8Z9TkKN,24.25.05,People & Blogs Compilation 2024,Channel_3114,10,2024-05-24T10:00:00.000Z,review|2024|live,164662,10789,939,1227,https://i.ytimg.com/vi/ISjqYYjMnCY/default.jpg,False,False,False,Auto-generated sample description for People & Blogs video.
2XZatTtPY0h,24.15.10,Behind the Scenes: Entertainment,Channel_1,17,2024-10-14T05:00:00.000Z,review|live|music,429804,22170,2090,2218,https://i.ytimg.com/vi/D_2zhMcGWmQ/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
aZxLl3Ot3BE,24.08.02,Behind the Scenes: Entertainment,Channel_1523,6,2024-02-08T04:00:00.000Z,2024|review|trending,141812,7395,1409,749,https://i.ytimg.com/vi/ad2eKqKJ-5d/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
nwxy9MZVUMo,24.29.11,Official Entertainment Highlights,Channel_99,8,2024-11-26T19:00:00.000Z,music|live|vlog,18893,1249,82,26,https://i.ytimg.com/vi/khnxgtYBIPz/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
qLJ91madTQI,24.09.04,Top 10 Gaming Moments This Week,Channel_2345,13,2024-04-07T16:00:00.000Z,review|live|trending,182420,6464,1596,1616,https://i.ytimg.com/vi/ebLu6cNow4A/default.jpg,True,False,False,Auto-generated sample description for Gaming video.
kxLUiGRBXZA,24.12.05,Gaming Compilation 2024,Channel_3166,15,2024-05-08T06:00:00.000Z,vlog|music|live,54458,3122,173,712,https://i.ytimg.com/vi/Q71gl_HM_jg/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
WZWjsA2uBTV,24.29.12,Reacting to Science & Technology Trends,Channel_4899,12,2024-12-25T06:00:00.000Z,review|live|music,4609,246,12,79,https://i.ytimg.com/vi/G28VhFjImDR/default.jpg,False,True,False,Auto-generated sample description for Science & Technology video.
zIlpwiQ4TCK,24.15.03,Top 10 Entertainment Moments This Week,Channel_821,6,2024-03-15T07:00:00.000Z,2024|vlog|music,253944,6296,780,1961,https://i.ytimg.com/vi/xH-rynJOU_B/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
HwcQcwR45fT,24.25.05,Entertainment Compilation 2024,Channel_1753,17,2024-05-21T04:00:00.000Z,2024|vlog|trending,122724,3555,420,1159,https://i.ytimg.com/vi/rW2AcEHLmux/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
bLb38xx5kQS,24.06.07,Behind the Scenes: Howto & Style,Channel_4481,1,2024-07-02T08:00:00.000Z,vlog|2024|review,304364,5872,2952,5462,https://i.ytimg.com/vi/wL5rSzHbpuI/default.jpg,False,False,False,Auto-generated sample description for Howto & Style video.
dupHdAiS4jp,24.30.07,Behind the Scenes: Film & Animation,Channel_1715,14,2024-07-30T11:00:00.000Z,official|live|review,48754,1469,255,839,https://i.ytimg.com/vi/AAHUga-HMly/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
UwKR0jpq9wN,24.03.02,Entertainment Compilation 2024,Channel_604,17,2024-02-01T15:00:00.000Z,vlog|official|2024,12066,268,34,211,https://i.ytimg.com/vi/ODzkQ1k3sC3/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
Kk0Ebmhn_Ms,24.20.02,Behind the Scenes: Entertainment,Channel_2352,17,2024-02-19T01:00:00.000Z,review|2024|official,185396,6536,1549,3603,https://i.ytimg.com/vi/glagVyhQwPe/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
ZMBngDHlk9o,24.21.06,Entertainment Compilation 2024,Channel_4580,17,2024-06-21T03:00:00.000Z,2024|vlog|official,8599,113,4,167,https://i.ytimg.com/vi/dODIs7VS5Po/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
5lQxsgSvIVx,24.12.12,Behind the Scenes: Entertainment,Channel_1822,6,2024-12-10T06:00:00.000Z,vlog|music|trending,101189,2808,825,765,https://i.ytimg.com/vi/DT8uvzYmwE3/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
cFOA-tWpJOE,24.01.07,Reacting to Entertainment Trends,Channel_4710,17,2024-06-29T00:00:00.000Z,live|vlog|trending,16155,1022,120,179,https://i.ytimg.com/vi/Xqs-7OY3eew/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
qZWyJOn-55e,24.06.09,Official Film & Animation Highlights,Channel_4402,14,2024-09-03T09:00:00.000Z,trending|vlog|music,29626,1263,284,367,https://i.ytimg.com/vi/Xfb7CszPT0D/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
frv5T8CECJ4,24.08.04,Top 10 Entertainment Moments This Week,Channel_3779,17,2024-04-06T00:00:00.000Z,vlog|2024|review,51807,3791,471,632,https://i.ytimg.com/vi/epBxg3X07DX/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
f8krEjKTz2c,24.18.08,Reacting to Gaming Trends,Channel_4540,13,2024-08-14T20:00:00.000Z,official|review|live,61201,2975,276,1050,https://i.ytimg.com/vi/EC9TVMWTWDi/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
F7Kv1f9YNaA,24.16.09,Top 10 Entertainment Moments This Week,Channel_3607,17,2024-09-13T00:00:00.000Z,2024|official|review,52509,2794,195,455,https://i.ytimg.com/vi/I_0X1DlBbVW/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
MjOuD2dFXeH,24.17.10,Top 10 Entertainment Moments This Week,Channel_1131,6,2024-10-17T14:00:00.000Z,live|vlog|music,29795,2377,54,138,https://i.ytimg.com/vi/IcW9qT_2lzi/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
W-25eXT4DXZ,24.02.06,Behind the Scenes: Entertainment,Channel_2305,17,2024-06-01T08:00:00.000Z,vlog|music|live,157397,11232,1030,1326,https://i.ytimg.com/vi/Lyqx6boM20_/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
iHEPQHiQyRZ,24.12.04,Official Film & Animation Highlights,Channel_1550,7,2024-04-12T19:00:00.000Z,music|live|trending,58528,2163,382,197,https://i.ytimg.com/vi/5HNiI2WmIm-/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
FoVn2pxG6W7,24.27.10,Why This Entertainment Video Went Viral,Channel_4828,8,2024-10-24T13:00:00.000Z,live|official|trending,787928,40633,3723,6802,https://i.ytimg.com/vi/2A3QF2D53UC/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
ASk6i6_YRQ_,24.25.07,Reacting to Entertainment Trends,Channel_4340,8,2024-07-25T12:00:00.000Z,review|music|official,51537,1292,97,841,https://i.ytimg.com/vi/OpNEUiKypnz/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
ge2XfnOmXCG,24.28.08,Official Entertainment Highlights,Channel_991,6,2024-08-27T10:00:00.000Z,official|review|music,25473,1613,118,391,https://i.ytimg.com/vi/MdXOG3dPAvj/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
W8uKNxG1NML,24.11.08,Entertainment Compilation 2024,Channel_2607,8,2024-08-08T16:00:00.000Z,trending|vlog|review,54072,1718,200,306,https://i.ytimg.com/vi/mDtoljxsNs1/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
wF_Vm5BGmLn,24.02.06,Behind the Scenes: Entertainment,Channel_1143,8,2024-06-02T18:00:00.000Z,vlog|official|2024,233151,10136,2156,3798,https://i.ytimg.com/vi/hD-DXfV84fl/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
4L4-uBiEfk6,25.21.01,Why This Gaming Video Went Viral,Channel_4455,13,2025-01-17T15:00:00.000Z,2024|official|trending,8604,123,23,105,https://i.ytimg.com/vi/XCOunsMFpgU/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
rGlmmdxWqSa,24.18.12,Entertainment Compilation 2024,Channel_3867,17,2024-12-17T14:00:00.000Z,official|music|vlog,110183,3102,749,726,https://i.ytimg.com/vi/yNUTr2IgpVv/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
O8j4kAMWTpk,24.29.02,Gaming Compilation 2024,Channel_4342,13,2024-02-25T13:00:00.000Z,live|review|vlog,16440,1230,136,211,https://i.ytimg.com/vi/6eoH_rEDy-G/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
1_UeM6-mk_A,24.30.07,Reacting to Entertainment Trends,Channel_4048,6,2024-07-26T05:00:00.000Z,music|official|vlog,14731,981,21,93,https://i.ytimg.com/vi/R8JgFbNzwf7/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
DoNXllMUCdM,24.20.10,Behind the Scenes: People & Blogs,Channel_2925,10,2024-10-17T22:00:00.000Z,trending|2024|music,527,16,4,9,https://i.ytimg.com/vi/lMW5L88mQ-R/default.jpg,False,False,False,Auto-generated sample description for People & Blogs video.
6C2_znO8inY,24.15.12,Official Entertainment Highlights,Channel_3224,17,2024-12-14T16:00:00.000Z,official|review|trending,138436,3034,244,2131,https://i.ytimg.com/vi/-q6zD4x_FXq/default.jpg,False,True,False,Auto-generated sample description for Entertainment video.
D6S3cpCoMd1,24.24.02,Travel & Events Compilation 2024,Channel_3741,11,2024-02-21T09:00:00.000Z,music|official|review,36758,1535,50,559,https://i.ytimg.com/vi/VB78AjAhX-W/default.jpg,False,False,False,Auto-generated sample description for Travel & Events video.
D7ZfELsKiBa,24.24.07,Top 10 Entertainment Moments This Week,Channel_1731,8,2024-07-21T00:00:00.000Z,trending|music|vlog,15042,641,139,129,https://i.ytimg.com/vi/0KsEG52f5YP/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
2Byj2mRl_hb,24.07.01,Why This Entertainment Video Went Viral,Channel_4481,8,2024-01-04T11:00:00.000Z,2024|music|trending,126126,7670,301,1965,https://i.ytimg.com/vi/g_KLW379RLw/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
u2NzrNanC2w,24.09.07,Behind the Scenes: Entertainment,Channel_4917,6,2024-07-05T07:00:00.000Z,2024|vlog|review,13199,289,113,123,https://i.ytimg.com/vi/vWeIyelQzJH/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
rP00kovPjeZ,24.20.09,Entertainment Compilation 2024,Channel_4368,8,2024-09-17T00:00:00.000Z,trending|vlog|review,13689,949,59,10,https://i.ytimg.com/vi/FuzVJWCbOz5/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
eWR8lqGz9n8,24.25.06,Top 10 Entertainment Moments This Week,Channel_3120,8,2024-06-23T08:00:00.000Z,live|2024|official,130007,3850,661,895,https://i.ytimg.com/vi/CiZEkXv0pzv/default.jpg,False,False,True,Auto-generated sample description for Entertainment video.
ecK3L8g_-ux,24.20.01,Behind the Scenes: Education,Channel_1293,4,2024-01-18T12:00:00.000Z,trending|vlog|review,6186,390,10,40,https://i.ytimg.com/vi/_togUfKxriV/default.jpg,False,False,False,Auto-generated sample description for Education video.
hvsmbGZqKCU,24.26.08,Top 10 Entertainment Moments This Week,Channel_1422,17,2024-08-22T18:00:00.000Z,2024|live|vlog,100837,3499,506,1660,https://i.ytimg.com/vi/tO9aWd9SQv_/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
YHpU9cpE3U7,24.17.08,Why This Entertainment Video Went Viral,Channel_4057,17,2024-08-14T15:00:00.000Z,trending|music|vlog,83480,2599,784,509,https://i.ytimg.com/vi/SLX2gubLy9r/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
nHZD_uR8nus,24.21.07,Behind the Scenes: Entertainment,Channel_2423,8,2024-07-19T20:00:00.000Z,vlog|live|trending,52821,1819,478,500,https://i.ytimg.com/vi/17411cNx2pB/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
3ehg27ljhLW,24.18.12,Reacting to Entertainment Trends,Channel_3026,8,2024-12-17T02:00:00.000Z,music|vlog|official,21220,1511,205,321,https://i.ytimg.com/vi/RJMfXMxzE8R/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
pr6aRd-xCU3,24.25.02,Why This Entertainment Video Went Viral,Channel_2635,8,2024-02-22T09:00:00.000Z,vlog|2024|review,22687,956,77,186,https://i.ytimg.com/vi/BJUluw3nX1C/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
-4i_iLLTpOn,24.04.05,Top 10 Entertainment Moments This Week,Channel_3465,6,2024-04-30T22:00:00.000Z,music|trending|vlog,5676,188,47,6,https://i.ytimg.com/vi/S_iuSG-QQqY/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
rDowu8d_Yj1,24.14.06,Official Entertainment Highlights,Channel_4958,8,2024-06-12T11:00:00.000Z,official|music|review,2915,33,21,52,https://i.ytimg.com/vi/_tgmk0SqkSi/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
PdQPNI72v1f,24.06.08,Official Gaming Highlights,Channel_3204,15,2024-08-03T13:00:00.000Z,music|live|2024,5884,330,20,50,https://i.ytimg.com/vi/pAFVNUamSCC/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
PEaz76jOvCa,24.19.04,Behind the Scenes: Entertainment,Channel_272,6,2024-04-15T18:00:00.000Z,live|2024|trending,45098,1244,295,357,https://i.ytimg.com/vi/vtnlBVysKew/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
ZJCDEQ9208u,24.06.10,Official Film & Animation Highlights,Channel_4179,14,2024-10-02T05:00:00.000Z,live|music|vlog,4953,338,40,66,https://i.ytimg.com/vi/240TJPgwV12/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
lduhUO2pBp7,24.14.02,Top 10 Entertainment Moments This Week,Channel_2735,17,2024-02-14T15:00:00.000Z,music|vlog|review,7482,292,24,21,https://i.ytimg.com/vi/tHzpskyBtpA/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
gKtD5wdcbFY,24.26.12,Official Entertainment Highlights,Channel_4685,6,2024-12-22T21:00:00.000Z,trending|review|live,12261,686,92,198,https://i.ytimg.com/vi/sighmBfxXKl/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
sz7vaCDSiqM,24.02.06,Top 10 Travel & Events Moments This Week,Channel_4855,11,2024-06-02T17:00:00.000Z,review|2024|live,43551,1283,407,624,https://i.ytimg.com/vi/atTos5r8X6g/default.jpg,False,False,False,Auto-generated sample description for Travel & Events video.
7BMpH3syHfL,25.11.01,Reacting to People & Blogs Trends,Channel_4460,10,2025-01-11T17:00:00.000Z,official|review|live,48819,521,309,698,https://i.ytimg.com/vi/WoZ9lhTt17K/default.jpg,False,False,False,Auto-generated sample description for People & Blogs video.
AQSTJSvBU_V,24.04.09,Reacting to Entertainment Trends,Channel_3210,8,2024-08-31T17:00:00.000Z,2024|official|music,4478,128,36,29,https://i.ytimg.com/vi/jFIMqlX9ULV/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
mo1uno-Mjda,24.06.10,Entertainment Compilation 2024,Channel_1073,17,2024-10-04T16:00:00.000Z,trending|official|live,35773,1685,135,672,https://i.ytimg.com/vi/VTpF8w5JKAg/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
s2m-5ccx38h,24.23.03,Why This Entertainment Video Went Viral,Channel_4831,8,2024-03-19T10:00:00.000Z,live|vlog|official,181467,11474,1144,3358,https://i.ytimg.com/vi/LDo63h3Py-H/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
3MMCYeEf8ll,25.01.02,Top 10 Gaming Moments This Week,Channel_1575,15,2025-01-31T18:00:00.000Z,live|vlog|official,27076,1915,127,310,https://i.ytimg.com/vi/WYaCaV2aZAt/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
U7X2_OPKDpF,24.17.12,Reacting to Gaming Trends,Channel_2106,13,2024-12-13T07:00:00.000Z,music|official|trending,2602,45,13,45,https://i.ytimg.com/vi/YCCrhX8Mv0k/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
5Mo7hGBfDig,24.21.07,Top 10 People & Blogs Moments This Week,Channel_4848,10,2024-07-19T09:00:00.000Z,vlog|2024|official,957,55,9,1,https://i.ytimg.com/vi/Um9dplO1wS_/default.jpg,False,False,False,Auto-generated sample description for People & Blogs video.
i5vTwJT1pvH,24.02.10,Why This Entertainment Video Went Viral,Channel_4673,6,2024-09-29T06:00:00.000Z,music|trending|review,48893,1065,171,695,https://i.ytimg.com/vi/OG4sSj209Qq/default.jpg,False,False,False,
3craVz5u56Y,24.20.03,Why This Entertainment Video Went Viral,Channel_2514,6,2024-03-16T17:00:00.000Z,2024|vlog|review,4804,128,22,2,https://i.ytimg.com/vi/EHSNdNNpwvk/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
LeAr0lhCSIk,24.25.01,Reacting to Entertainment Trends,Channel_127,6,2024-01-21T15:00:00.000Z,official|2024|trending,21107,1658,183,211,https://i.ytimg.com/vi/DtU-m2njn6k/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
sautPHfFWQu,25.25.01,Why This Howto & Style Video Went Viral,Channel_2383,1,2025-01-22T18:00:00.000Z,official|music|2024,18406,1469,57,274,https://i.ytimg.com/vi/OMj2DX_TkGG/default.jpg,False,False,False,Auto-generated sample description for Howto & Style video.
KlrCdAiinyX,24.02.04,Official Gaming Highlights,Channel_1617,13,2024-03-29T22:00:00.000Z,music|official|2024,8752,110,32,101,https://i.ytimg.com/vi/Pkc1YfEJ3Vt/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
Jwfk0rQVYRE,24.29.06,Behind the Scenes: Gaming,Channel_65,15,2024-06-25T10:00:00.000Z,trending|2024|vlog,31835,1419,122,380,https://i.ytimg.com/vi/Z2U4SeFa_s4/default.jpg,False,False,False,Auto-generated sample description for Gaming video.
qlXD1tbHkei,24.29.09,Entertainment Compilation 2024,Channel_701,17,2024-09-29T05:00:00.000Z,live|official|music,29182,2069,245,577,https://i.ytimg.com/vi/h9CorqCTqIz/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
6pIcPlZdAO2,24.07.02,Behind the Scenes: Entertainment,Channel_4355,17,2024-02-05T02:00:00.000Z,trending|review|live,21929,1192,112,307,https://i.ytimg.com/vi/sini18KVa84/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
rmh329821TA,24.25.06,Entertainment Compilation 2024,Channel_4683,17,2024-06-24T12:00:00.000Z,review|music|official,33778,2502,263,347,https://i.ytimg.com/vi/JudIDjsxIef/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
E4zgXSuqDEB,24.03.09,Behind the Scenes: Entertainment,Channel_1815,6,2024-09-02T02:00:00.000Z,trending|live|music,14807,496,47,268,https://i.ytimg.com/vi/ZlCWII7XscX/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
AJqfQ6_Pnwi,24.25.03,Entertainment Compilation 2024,Channel_664,6,2024-03-21T17:00:00.000Z,live|2024|music,14802,1089,59,25,https://i.ytimg.com/vi/SCSZFcg6gVI/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
trpd3uwaH69,24.11.02,Official Entertainment Highlights,Channel_4509,17,2024-02-09T15:00:00.000Z,live|2024|review,23988,743,43,203,https://i.ytimg.com/vi/DpjNpjpgG6S/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
yADrQRQ9r-e,24.30.10,Reacting to Travel & Events Trends,Channel_998,5,2024-10-28T14:00:00.000Z,music|vlog|live,4600,307,42,26,https://i.ytimg.com/vi/oPsHx0pzJ_F/default.jpg,False,False,False,Auto-generated sample description for Travel & Events video.
ZrUZQpzjVcl,24.30.06,Entertainment Compilation 2024,Channel_4620,17,2024-06-29T05:00:00.000Z,official|trending|music,73091,737,474,784,https://i.ytimg.com/vi/_Ag6Z5eH9NU/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
xfHuxzVIHmb,24.25.02,Behind the Scenes: Film & Animation,Channel_1395,14,2024-02-22T11:00:00.000Z,official|live|music,16212,461,25,188,https://i.ytimg.com/vi/rzh9s9ximsI/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
foUVLNcvzI6,24.17.11,Reacting to Film & Animation Trends,Channel_1444,7,2024-11-15T05:00:00.000Z,music|live|review,4372,334,4,13,https://i.ytimg.com/vi/1KIOO_faZMN/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
8EEQSMeGfkY,24.27.10,Why This Film & Animation Video Went Viral,Channel_4756,14,2024-10-26T01:00:00.000Z,live|review|vlog,41676,2924,384,642,https://i.ytimg.com/vi/cSKY0x4jnSy/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
wipoVO3gLFz,24.02.04,Official Film & Animation Highlights,Channel_1462,7,2024-04-02T12:00:00.000Z,vlog|live|review,666,52,1,2,https://i.ytimg.com/vi/LN466RHTddP/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
zoCBqgRpWn-,24.05.07,Entertainment Compilation 2024,Channel_3755,17,2024-07-04T01:00:00.000Z,trending|vlog|2024,227847,7352,1856,748,https://i.ytimg.com/vi/FHbCoAPqNDt/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
A7WDNJkxac_,24.04.05,Reacting to Film & Animation Trends,Channel_4766,7,2024-04-30T10:00:00.000Z,vlog|trending|review,8320,563,65,24,https://i.ytimg.com/vi/-mp8qYwtKWU/default.jpg,False,False,False,Auto-generated sample description for Film & Animation video.
kweqikFaFLK,24.15.12,Why This Entertainment Video Went Viral,Channel_760,8,2024-12-13T03:00:00.000Z,vlog|trending|official,83530,5226,298,741,https://i.ytimg.com/vi/_TtnxzDUiqu/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
GG7XXbq9alD,24.07.11,Why This Entertainment Video Went Viral,Channel_52,8,2024-11-03T06:00:00.000Z,vlog|live|2024,33029,860,199,44,https://i.ytimg.com/vi/p_42vgB_E9N/default.jpg,False,False,False,Auto-generated sample description for Entertainment video.
